id,1252923@尼采@1@1,1253923@彌爾@1@1,1251012@哲學概論（二）@2@1,1252306@語言哲學@2@1,1252608@美學概論@2@1,1253500@科學哲學@2@1,1254715@當代倫理學爭辯@2@1,1251011@哲學概論（一）@1@1,1251406@基礎邏輯（上）@1@2,1252200@知識論@1@1,1252305@心靈哲學@1@1,1252517@科學推理@1@1,1252610@應用倫理學@1@1,1252907@羅爾斯@1@1,1253937@存在主義@1@1,1251407@基礎邏輯（下）@2@1,1251912@哲學史（二）@2@1,1252707@女性主義@2@1,1254113@當代分析哲學重要議題選讀@2@1,1251406@基礎邏輯（上）@1@1,1251911@哲學史（一）@1@1,1252600@倫理學@1@1,1253622@分析倫理學重要議題選讀@1@1,1253950@中國哲學概論@1@1,1252010@哲學寫作@2@1,1252100@形上學@2@1,1252907@羅爾斯@2@1,1253006@假設性思考@2@1,1253931@女性主義經典哲學家：西蒙波娃@2@1,1254503@生物哲學概論@2@1
402510066,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402510109,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402510078,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402510003,NaN,NaN,74,80,NaN,60,60,73,46,63,NaN,60,68,NaN,NaN,60,64,66,46,71,65,77,65,63,-1,-1,-1,-1,-1,-1
402510059,NaN,NaN,NaN,NaN,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402510034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402510002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402510053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
