id,5301106@商用電腦概論@1@1,5301888@學系服務學習@1@1,5302102@程式語言與設計@1@1,5301214@物件導向技術（一）－JAVA@2@1,5301215@科技法律@2@1,5301888@學系服務學習@2@1,5302115@醫療資訊系統@2@1,5302215@管理學@2@1,5303211@軟體工程@2@1,5303224@醫務管理@2@1,5301105@計算機概論@1@1,5301216@程式設計@1@1,5302104@統計學（一）@1@1,5302203@資料結構@1@1,5302214@網頁程式設計@1@1,5302216@資訊管理導論@1@1,5303230@網路社群分析與管理@1@1,5302117@XML 與網際網路服務@2@1,5302202@資料庫管理@2@1,5302205@企業資料通訊與網路@2@1,5303225@健康保險@2@1,5304219@策略資訊管理@2@1,5302218@科技法律@1@1,5303102@系統分析與設計@1@1,5303110@行銷管理@1@1,5303224@醫務管理@1@1,5303227@電子商務@1@1,5304220@資訊管理個案研究@1@1,5301217@資訊管理導論@2@1,5303111@網路行銷@2@1,5303213@會計資訊系統@2@1,5303229@專案開發（一）@2@1,5303231@資訊安全管理@2@1,5304214@顧客關係管理@2@1,5304217@專案開發（二）@2@1,5303101@管理科學概論@1@1,5303210@資訊安全@1@1,5303229@專案開發（一）@1@1,5303232@財務管理@1@1,5304217@專案開發（二）@1@1,5304218@管理資訊系統@1@1,5303222@多媒體系統@2@1,5303233@專案開發(二)@2@1
401530027,37,80,32,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401530028,80,NaN,74,68,93,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401530029,71,80,47,66,77,NaN,82,NaN,NaN,NaN,NaN,79,81,68,NaN,81,92,NaN,81,70,NaN,NaN,NaN,76,NaN,85,80,NaN,NaN,85,82,90,NaN,NaN,NaN,82,80,NaN,NaN,NaN,87,NaN,84
401530030,57,NaN,65,86,88,80,83,NaN,NaN,NaN,86,NaN,75,93,84,73,92,64,78,97,NaN,NaN,NaN,79,NaN,NaN,85,NaN,NaN,NaN,84,NaN,NaN,88,98,NaN,NaN,87,NaN,NaN,92,86,NaN
401530031,65,80,64,63,95,NaN,72,NaN,NaN,NaN,NaN,NaN,81,68,68,81,86,NaN,71,76,NaN,86,NaN,77,NaN,84,85,90,NaN,NaN,83,NaN,NaN,NaN,90,NaN,NaN,85,NaN,NaN,90,NaN,NaN
401530032,73,NaN,48,67,88,80,88,NaN,NaN,NaN,NaN,87,78,80,65,77,86,NaN,67,70,72,NaN,NaN,78,NaN,87,81,88,NaN,NaN,81,NaN,NaN,NaN,88,NaN,NaN,91,NaN,NaN,84,NaN,NaN
401530033,81,80,72,64,99,NaN,83,NaN,NaN,NaN,NaN,NaN,87,70,84,79,84,93,84,73,NaN,86,NaN,77,NaN,83,86,NaN,NaN,NaN,86,NaN,NaN,NaN,88,NaN,NaN,90,NaN,NaN,91,NaN,NaN
401530034,70,NaN,69,65,91,80,NaN,NaN,NaN,NaN,NaN,NaN,80,68,75,73,84,NaN,86,62,NaN,88,NaN,76,NaN,82,83,75,NaN,81,81,NaN,NaN,NaN,88,NaN,77,90,NaN,NaN,88,NaN,NaN
401530036,67,NaN,68,67,74,80,86,NaN,NaN,78,NaN,NaN,72,86,81,83,84,NaN,70,68,90,NaN,NaN,76,90,NaN,81,85,NaN,87,80,86,NaN,NaN,88,NaN,75,NaN,NaN,NaN,85,68,NaN
401530037,71,80,42,26,66,NaN,NaN,NaN,NaN,NaN,NaN,24,62,48,1,72,84,NaN,16,0,NaN,NaN,NaN,60,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,19,NaN,NaN
401530038,68,NaN,60,68,72,80,NaN,NaN,NaN,NaN,NaN,NaN,80,73,66,77,84,NaN,60,78,81,NaN,NaN,76,89,85,81,NaN,NaN,NaN,83,97,84,NaN,NaN,86,71,NaN,NaN,88,91,NaN,NaN
401530040,78,NaN,63,97,79,80,NaN,NaN,NaN,NaN,NaN,NaN,76,84,83,81,84,73,76,70,65,NaN,NaN,73,NaN,NaN,83,77,NaN,NaN,80,NaN,92,NaN,90,NaN,NaN,91,77,NaN,90,79,NaN
401530041,69,80,66,74,88,NaN,82,NaN,NaN,NaN,NaN,NaN,79,84,58,79,84,NaN,61,84,NaN,87,NaN,69,NaN,80,80,NaN,NaN,NaN,80,NaN,81,NaN,88,NaN,79,89,NaN,NaN,83,NaN,NaN
401530042,65,NaN,64,68,76,80,84,NaN,NaN,NaN,NaN,NaN,73,61,82,80,89,83,81,65,NaN,NaN,NaN,74,83,NaN,79,85,NaN,87,77,NaN,82,NaN,91,NaN,NaN,91,NaN,NaN,83,NaN,NaN
401530043,71,80,62,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401530044,71,NaN,76,60,72,80,NaN,NaN,NaN,NaN,NaN,NaN,56,72,NaN,79,84,NaN,67,60,NaN,NaN,NaN,69,NaN,NaN,84,NaN,NaN,88,77,NaN,NaN,85,97,90,73,88,NaN,NaN,84,NaN,NaN
401530045,69,80,55,60,94,NaN,NaN,NaN,72,NaN,NaN,76,71,70,NaN,77,87,24,72,60,70,NaN,NaN,73,NaN,NaN,75,83,NaN,87,77,NaN,NaN,NaN,90,NaN,72,87,NaN,NaN,82,67,NaN
401530046,63,NaN,60,NaN,80,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401530048,NaN,NaN,NaN,71,NaN,83,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,85,71,NaN,NaN,NaN,NaN,88,73,81,NaN,77,NaN,NaN,76,80,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401530050,NaN,NaN,NaN,66,NaN,73,NaN,NaN,NaN,NaN,NaN,72,NaN,75,67,NaN,85,NaN,76,73,NaN,NaN,90,64,NaN,78,80,NaN,NaN,91,82,NaN,94,NaN,95,NaN,NaN,88,NaN,NaN,88,76,NaN
401530052,NaN,85,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,77,67,NaN,85,NaN,64,71,NaN,NaN,90,71,NaN,83,74,NaN,90,76,81,NaN,88,NaN,96,82,NaN,88,NaN,NaN,88,NaN,NaN
401530049,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,83,83,85,NaN,69,71,NaN,NaN,75,65,NaN,78,85,NaN,NaN,76,77,NaN,NaN,NaN,95,NaN,NaN,89,NaN,NaN,87,NaN,NaN
401530051,NaN,75,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,84,71,NaN,85,63,71,66,NaN,NaN,93,70,NaN,NaN,77,NaN,82,76,80,NaN,88,NaN,95,94,NaN,88,NaN,NaN,87,NaN,NaN
401530053,NaN,72,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,81,75,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,75,72,NaN,NaN,NaN,NaN,79,NaN,78,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,83,NaN,NaN
401530054,NaN,68,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,82,76,NaN,NaN,NaN,NaN,78,NaN,NaN,76,NaN,NaN,62,73,NaN,NaN,NaN,NaN,78,NaN,78,NaN,92,NaN,NaN,94,NaN,NaN,NaN,NaN,86,NaN,NaN
