id,2601101@普通化學（一）@1@1,2601107@普通化學實驗（一）@1@1,2601601@生物學@1@1,2601888@學系服務學習@1@1,2601102@普通化學（二）@2@1,2601108@普通化學實驗（二）@2@1,2601888@學系服務學習@2@1,2602201@有機化學（一）@1@1,2602205@有機化學實驗（一）@1@1,2602211@有機化學（一）@1@1,2602217@有機化學實驗（一）@1@1,2602411@化學數學（一）@1@1,2602501@分析化學（一）@1@1,2602507@分析化學實驗（一）@1@1,2602202@有機化學（二）@2@1,2602206@有機化學實驗（二）@2@1,2602212@有機化學（二）@2@1,2602218@有機化學實驗（二）@2@1,2602401@物理化學（一）@2@1,2602421@物理化學（一）@2@1,2602431@物理化學實驗（一）@2@1,2602502@分析化學（二）@2@1,2602509@分析化學實驗（二）@2@1,2602509@分析化學實驗（二）@2@2,2603711@材料化學導論@2@1,2603301@無機化學（一）@1@1,2603402@物理化學（二）@1@1,2603407@物理化學實驗（一）@1@1,2603422@物理化學（二）@1@1,2603432@物理化學實驗（二）@1@1,2603512@化學儀器@1@1,2603601@生物化學（一）@1@1,2603711@材料化學導論@1@1,2603901@專題研究（一）@1@1,2603302@無機化學（二）@2@1,2603403@物理化學（三）@2@1,2603408@物理化學實驗（二）@2@1,2603602@生物化學（二）@2@1,2603902@專題研究(二)@2@1,2601101@普通化學（一）@1@3,2604701@專題研究（三）@1@1,2604901@有機化學書報討論（一）@1@1,2604902@無機化學書報討論（一）@1@1,2604903@物理化學書報討論（一）@1@1,2604904@分析化學書報討論（一）@1@1,2604702@專題研究（四）@2@1,2604905@有機化學書報討論（二）@2@1,2604906@無機化學書報討論（二）@2@1,2604907@物理化學書報討論（二）@2@1,2604908@分析化學書報討論（二）@2@1
401260022,75,81,67,NaN,90,78,95,81,87,NaN,NaN,61,96,78,60,90,NaN,NaN,78,NaN,NaN,74,83,NaN,NaN,83,74,76,NaN,NaN,64,99,70,NaN,83,66,85,67,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,93
401260023,92,79,79,85,88,73,NaN,97,81,NaN,NaN,77,73,78,60,79,NaN,NaN,88,NaN,NaN,96,NaN,66,NaN,68,60,80,NaN,NaN,65,68,72,NaN,93,80,84,71,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,71,NaN,NaN,NaN
401260024,64,74,69,NaN,74,68,85,64,70,NaN,NaN,80,60,71,60,61,NaN,NaN,65,NaN,NaN,68,72,NaN,NaN,71,76,78,NaN,NaN,40,77,61,NaN,60,60,77,77,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,80,NaN,NaN
401260026,60,76,65,NaN,81,69,80,93,64,NaN,NaN,85,86,72,60,73,NaN,NaN,60,NaN,NaN,68,NaN,69,NaN,73,72,77,NaN,NaN,60,89,64,NaN,97,72,83,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN
401260027,90,74,71,85,88,78,NaN,68,73,NaN,NaN,70,71,71,70,78,NaN,NaN,81,NaN,NaN,91,NaN,73,NaN,75,86,76,NaN,NaN,75,84,68,NaN,87,68,83,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,65,NaN,NaN,NaN
401260028,60,65,71,NaN,76,67,80,67,73,NaN,NaN,73,85,67,66,67,NaN,NaN,74,NaN,NaN,77,NaN,72,NaN,64,60,78,NaN,NaN,61,80,75,NaN,75,74,83,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN
401260029,75,79,69,85,75,83,NaN,62,77,NaN,NaN,81,78,77,60,75,NaN,NaN,64,NaN,NaN,88,NaN,79,NaN,70,67,79,NaN,NaN,57,80,71,NaN,82,93,86,90,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,80,NaN,NaN
401260030,86,78,64,NaN,91,83,95,85,82,NaN,NaN,82,95,83,74,85,NaN,NaN,97,NaN,NaN,96,81,NaN,NaN,78,67,81,NaN,NaN,66,86,80,NaN,84,82,85,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,79,NaN,NaN
401260031,71,68,70,85,77,71,NaN,75,71,NaN,NaN,80,78,77,78,80,NaN,NaN,78,NaN,NaN,89,NaN,74,NaN,75,71,77,NaN,NaN,71,75,64,NaN,80,80,83,76,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN
401260032,73,74,73,NaN,91,73,80,71,76,NaN,NaN,61,69,70,68,78,NaN,NaN,82,NaN,NaN,73,NaN,62,NaN,60,60,75,NaN,NaN,66,74,66,NaN,70,63,84,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,80,NaN
401260033,86,79,73,85,89,81,NaN,69,77,NaN,NaN,86,70,73,75,73,NaN,NaN,75,NaN,NaN,77,71,NaN,NaN,77,69,78,NaN,NaN,77,83,73,NaN,90,78,83,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,82,NaN,NaN
401260034,62,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401260035,67,73,87,85,75,69,NaN,60,70,NaN,NaN,80,67,76,67,66,NaN,NaN,65,NaN,NaN,83,69,NaN,NaN,60,60,76,NaN,NaN,NaN,64,76,NaN,61,63,85,73,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN
401260036,79,82,75,NaN,85,78,95,60,78,NaN,NaN,92,73,80,66,77,NaN,NaN,69,NaN,NaN,81,NaN,80,NaN,84,61,78,NaN,NaN,67,82,65,NaN,68,75,85,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,85,NaN,NaN
401260037,81,79,76,85,91,84,NaN,85,83,NaN,NaN,82,88,83,90,75,NaN,NaN,81,NaN,NaN,97,84,NaN,99,71,62,80,NaN,NaN,98,86,NaN,NaN,81,77,87,NaN,86,NaN,93,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,96
401260038,85,85,73,NaN,89,76,95,81,82,NaN,NaN,81,93,83,82,92,NaN,NaN,95,NaN,NaN,99,76,NaN,82,89,77,81,NaN,NaN,69,87,NaN,NaN,85,92,86,NaN,90,NaN,85,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,89
401260039,89,76,73,85,84,71,NaN,80,80,NaN,NaN,76,60,78,77,70,NaN,NaN,91,NaN,NaN,86,81,NaN,NaN,68,64,77,NaN,NaN,60,84,72,NaN,79,82,82,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,84,NaN
401260040,70,81,76,NaN,82,82,80,70,87,NaN,NaN,66,73,81,60,79,NaN,NaN,62,NaN,NaN,86,NaN,81,NaN,68,60,80,NaN,NaN,71,79,75,NaN,71,60,85,77,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,68,NaN,NaN,NaN
401260041,88,82,64,85,89,82,NaN,69,81,NaN,NaN,86,86,86,83,90,NaN,NaN,93,NaN,NaN,99,NaN,87,NaN,89,80,82,NaN,NaN,80,83,92,NaN,89,95,85,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,86,NaN
401260042,85,85,73,NaN,69,82,95,68,76,NaN,NaN,83,65,75,72,68,NaN,NaN,63,NaN,NaN,71,NaN,79,NaN,70,65,79,NaN,NaN,70,76,75,NaN,86,62,84,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,86,NaN,NaN
401260043,91,86,76,85,93,88,NaN,94,85,NaN,NaN,80,96,88,83,80,NaN,NaN,86,NaN,NaN,89,NaN,81,-1,99,88,79,NaN,NaN,NaN,84,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401260044,90,78,NaN,NaN,91,79,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401260045,75,82,79,85,91,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401260046,83,74,69,NaN,80,73,80,62,69,NaN,NaN,70,83,71,66,71,NaN,NaN,75,NaN,NaN,86,76,NaN,NaN,66,60,75,NaN,NaN,60,81,61,NaN,65,79,83,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,80,NaN,NaN
401260047,81,75,66,85,77,68,NaN,NaN,NaN,66,81,NaN,NaN,NaN,NaN,NaN,60,74,NaN,95,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401260048,88,82,NaN,NaN,99,86,95,93,88,NaN,NaN,89,93,83,89,94,NaN,NaN,93,NaN,NaN,99,84,NaN,83,96,99,80,NaN,NaN,68,83,NaN,NaN,95,90,88,NaN,80,NaN,80,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,90
401260050,81,79,84,NaN,91,84,80,68,82,NaN,NaN,74,87,78,74,81,NaN,NaN,69,NaN,NaN,84,87,NaN,76,89,99,78,NaN,NaN,75,84,NaN,NaN,99,94,84,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,77,NaN,NaN,NaN
401260051,83,78,68,85,80,79,NaN,81,82,NaN,NaN,85,95,81,87,81,NaN,NaN,89,NaN,NaN,92,79,NaN,78,87,68,82,NaN,NaN,74,84,NaN,90,94,93,87,NaN,90,NaN,90,NaN,NaN,94,NaN,85,NaN,82,NaN,NaN
401260052,74,76,74,NaN,80,74,80,76,81,NaN,NaN,60,83,82,60,77,NaN,NaN,74,NaN,NaN,94,82,NaN,60,72,60,80,NaN,NaN,60,73,NaN,NaN,68,68,83,39,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,73,NaN,NaN
401260054,64,64,62,NaN,72,71,80,72,68,NaN,NaN,70,70,74,65,62,NaN,NaN,64,NaN,NaN,61,68,NaN,NaN,75,73,77,NaN,NaN,55,79,68,NaN,60,61,82,62,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,75,NaN,NaN
