id,4151004@計算機概論@1@1,4151004@計算機概論@1@2,4151888@學系服務學習@1@1,4151888@學系服務學習@1@2,4152011@邏輯設計@1@1,4152011@邏輯設計@1@2,4152012@邏輯設計實驗@1@1,4152012@邏輯設計實驗@1@2,4151008@程式設計@2@1,4151008@程式設計@2@2,4151010@程式設計實習@2@1,4151010@程式設計實習@2@2,4151010@程式設計實習@2@3,4151010@程式設計實習@2@4,4151011@線性代數@2@1,4151888@學系服務學習@2@1,4151888@學系服務學習@2@2,4152019@電機工程導論@2@1
405415036,NaN,72,NaN,NaN,89,NaN,NaN,83,-1,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN
405415037,NaN,64,NaN,94,68,NaN,79,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405415038,NaN,81,NaN,NaN,NaN,68,89,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,-1
405415040,NaN,68,NaN,NaN,NaN,54,74,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN
405415042,NaN,79,NaN,NaN,NaN,83,NaN,93,-1,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN
405415044,NaN,76,NaN,NaN,NaN,52,89,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN
405415046,NaN,44,NaN,NaN,61,NaN,NaN,75,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,-1
405415048,NaN,61,NaN,NaN,61,NaN,79,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN
405415050,NaN,69,NaN,NaN,NaN,NaN,NaN,72,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN
405415052,NaN,68,NaN,NaN,NaN,NaN,77,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,-1,NaN,NaN
405415058,NaN,56,NaN,NaN,NaN,57,85,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1,NaN
405415060,NaN,85,NaN,NaN,NaN,69,NaN,76,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1,NaN
405415062,NaN,94,NaN,NaN,NaN,75,NaN,93,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,-1,NaN
405415066,NaN,75,NaN,NaN,62,NaN,NaN,73,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1,NaN
405415068,NaN,78,NaN,NaN,NaN,60,94,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN
405415072,NaN,75,NaN,NaN,NaN,52,NaN,75,-1,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN
405415076,NaN,40,NaN,NaN,NaN,47,NaN,80,-1,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1
405415077,NaN,77,NaN,99,NaN,60,NaN,82,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405415078,NaN,78,NaN,NaN,83,NaN,93,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN
405415080,NaN,82,NaN,NaN,NaN,72,77,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN
405415082,NaN,51,NaN,NaN,38,NaN,NaN,59,NaN,-1,NaN,-1,NaN,NaN,-1,-1,NaN,-1
405415084,NaN,80,NaN,NaN,65,NaN,78,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN
405415057,NaN,NaN,97,NaN,55,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405415064,NaN,NaN,NaN,NaN,82,NaN,NaN,82,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN
405415056,NaN,NaN,NaN,NaN,NaN,43,NaN,78,NaN,-1,NaN,NaN,NaN,-1,-1,-1,NaN,NaN
